# Gene Family	A_Abundance-RPKs
UniRef90_A0A395VRV3|g__Bacteroides.s__Bacteroides_vulgatus	20.4081632653
UniRef90_T4BXP0	20.4081632653
UniRef90_T4BXP0|g__Bacteroides.s__Bacteroides_dorei	20.4081632653
UniRef90_K7ZQ45	19.7368421053
UniRef90_K7ZQ45|g__Bacteroides.s__Bacteroides_dorei	13.1578947368
UniRef90_K7ZQ45|g__Bacteroides.s__Bacteroides_vulgatus	6.5789473684
UniRef90_A0A3E4JFU5	19.6078431373
UniRef90_A0A3E4JFU5|g__Bacteroides.s__Bacteroides_vulgatus	19.6078431373
UniRef90_A6L0H5	19.4174757282
UniRef90_A6L0H5|g__Bacteroides.s__Bacteroides_vulgatus	19.4174757282
UniRef90_T4BVE4	19.4174757282
UniRef90_T4BVE4|g__Bacteroides.s__Bacteroides_dorei	9.7087378641
UniRef90_T4BVE4|g__Bacteroides.s__Bacteroides_vulgatus	9.7087378641
UniRef90_A0A174QBF2	19.3768327085
UniRef90_A0A174QBF2|g__Bacteroides.s__Bacteroides_dorei	19.3768327085
UniRef90_A0A078S2X8	19.2307692308
UniRef90_A0A078S2X8|g__Bacteroides.s__Bacteroides_dorei	19.2307692308
UniRef90_A0A1H7K4W8	19.2307692308
UniRef90_A0A1H7K4W8|g__Bacteroides.s__Bacteroides_dorei	19.2307692308
UniRef90_C3QUE8	18.8679245283
UniRef90_C3QUE8|g__Bacteroides.s__Bacteroides_vulgatus	18.8679245283
UniRef90_E1YTP5	18.8679245283
UniRef90_E1YTP5|g__Bacteroides.s__Bacteroides_vulgatus	18.8679245283
UniRef90_R9H118	18.8679245283
UniRef90_R9H118|g__Bacteroides.s__Bacteroides_vulgatus	18.8679245283
UniRef90_A0A0P0M300	18.0722891566
UniRef90_A0A0P0M300|g__Bacteroides.s__Bacteroides_vulgatus	18.0722891566
UniRef90_A6L0Q2	17.3913043478
UniRef90_A6L0Q2|g__Bacteroides.s__Bacteroides_vulgatus	17.3913043478
UniRef90_A0A076IQD3	16.5289256198
UniRef90_A0A076IQD3|g__Bacteroides.s__Bacteroides_vulgatus	16.5289256198
UniRef90_A0A395UVE1	16.3934426230
UniRef90_A0A395UVE1|g__Bacteroides.s__Bacteroides_vulgatus	16.3934426230
UniRef90_A0A396EY33	15.6250000000
UniRef90_A0A396EY33|g__Bacteroides.s__Bacteroides_dorei	15.6250000000
UniRef90_B6W2Y4	15.4442456768
UniRef90_B6W2Y4|g__Bacteroides.s__Bacteroides_dorei	15.4442456768
UniRef90_A6L0U8	15.3846153846
UniRef90_A6L0U8|g__Bacteroides.s__Bacteroides_vulgatus	15.3846153846
UniRef90_D4JG11	15.0943396226
UniRef90_D4JG11|g__Bacteroides.s__Bacteroides_dorei	15.0943396226
UniRef90_A0A396AQQ6	14.9253731343
UniRef90_A0A396AQQ6|g__Bacteroides.s__Bacteroides_vulgatus	14.9253731343
UniRef90_C3R499	14.9253731343
UniRef90_C3R499|g__Bacteroides.s__Bacteroides_vulgatus	14.9253731343
UniRef90_A0A078QVE8	14.8148148148
UniRef90_A0A078QVE8|g__Bacteroides.s__Bacteroides_vulgatus	14.8148148148
UniRef90_A0A076ILR7	14.4927536232
UniRef90_A0A076ILR7|g__Bacteroides.s__Bacteroides_dorei	14.4927536232
UniRef90_C6IUI6	14.3884892086
UniRef90_C6IUI6|g__Bacteroides.s__Bacteroides_dorei	7.1942446043
UniRef90_C6IUI6|g__Bacteroides.s__Bacteroides_vulgatus	7.1942446043
UniRef90_A0A015WDS3	14.2857142857
UniRef90_A0A015WDS3|g__Bacteroides.s__Bacteroides_dorei	14.2857142857
UniRef90_A0A174WZ13	14.2857142857
UniRef90_A0A174WZ13|g__Bacteroides.s__Bacteroides_vulgatus	14.2857142857
UniRef90_A6L6M9	14.0186915888
UniRef90_A6L6M9|g__Bacteroides.s__Bacteroides_vulgatus	14.0186915888
UniRef90_A0A2X2VRZ5	13.8190954774
UniRef90_A0A2X2VRZ5|g__Bacteroides.s__Bacteroides_dorei	13.8190954774
UniRef90_A0A076J4U3	13.7931034483
UniRef90_A0A076J4U3|g__Bacteroides.s__Bacteroides_vulgatus	13.7931034483
UniRef90_A0A078QPQ5	13.3891495140
UniRef90_A0A078QPQ5|g__Bacteroides.s__Bacteroides_vulgatus	13.3891495140
UniRef90_A6L0P1	13.2450331126
UniRef90_A6L0P1|g__Bacteroides.s__Bacteroides_dorei	13.2450331126
UniRef90_Q45122	13.2450331126
UniRef90_Q45122|g__Bacteroides.s__Bacteroides_dorei	6.6225165563
UniRef90_Q45122|g__Bacteroides.s__Bacteroides_vulgatus	6.6225165563
UniRef90_A0A069SGI6	13.1578947368
UniRef90_A0A069SGI6|g__Bacteroides.s__Bacteroides_vulgatus	13.1578947368
UniRef90_W5R5G6	12.5348189415
UniRef90_W5R5G6|g__Bacteroides.s__Bacteroides_dorei	12.5348189415
UniRef90_A0A380ZDH4	12.1951219512
UniRef90_A0A380ZDH4|g__Bacteroides.s__Bacteroides_vulgatus	12.1951219512
UniRef90_A0A3E5ED92	12.1951219512
UniRef90_A0A3E5ED92|g__Bacteroides.s__Bacteroides_dorei	12.1951219512
UniRef90_A0A229I6J7	12.1590657107
UniRef90_A0A229I6J7|g__Bacteroides.s__Bacteroides_vulgatus	12.1590657107
UniRef90_C7H7K4	12.1457489879
UniRef90_C7H7K4|g__Bacteroides.s__Bacteroides_dorei	12.1457489879
UniRef90_A0A3E4JFE8	12.0000000000
UniRef90_A0A3E4JFE8|g__Bacteroides.s__Bacteroides_vulgatus	12.0000000000
UniRef90_A0A069S7Q4	11.7647058824
UniRef90_A0A069S7Q4|g__Bacteroides.s__Bacteroides_vulgatus	11.7647058824
UniRef90_A6L2T0	11.4285714286
UniRef90_A6L2T0|g__Bacteroides.s__Bacteroides_vulgatus	11.4285714286
UniRef90_A6KZ78	11.3636363636
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_vulgatus	11.3636363636
UniRef90_R9HY48	11.3636363636
UniRef90_R9HY48|g__Bacteroides.s__Bacteroides_dorei	11.3636363636
UniRef90_A0A078QIZ6	11.1111111111
UniRef90_A0A078QIZ6|g__Bacteroides.s__Bacteroides_vulgatus	11.1111111111
UniRef90_A0A139L253	10.9289617486
UniRef90_A0A139L253|g__Bacteroides.s__Bacteroides_dorei	10.9289617486
UniRef90_A0A3E4WS26	10.6382978723
UniRef90_A0A3E4WS26|g__Bacteroides.s__Bacteroides_vulgatus	10.6382978723
UniRef90_B0NKT6	10.3626943005
UniRef90_B0NKT6|g__Bacteroides.s__Bacteroides_vulgatus	10.3626943005
UniRef90_A0A081U0Q6	10.3092783505
UniRef90_A0A081U0Q6|g__Bacteroides.s__Bacteroides_vulgatus	10.3092783505
UniRef90_A0A1Q6HWI0	10.2040816327
UniRef90_A0A1Q6HWI0|g__Bacteroides.s__Bacteroides_vulgatus	10.2040816327
UniRef90_G8IJI8	9.8039215686
UniRef90_G8IJI8|g__Bacteroides.s__Bacteroides_vulgatus	9.8039215686
UniRef90_K9EB15	9.7087378641
UniRef90_K9EB15|g__Bacteroides.s__Bacteroides_vulgatus	9.7087378641
UniRef90_A0A0E9FSU9	9.3023255814
UniRef90_A0A0E9FSU9|g__Bacteroides.s__Bacteroides_vulgatus	5.5813953488
UniRef90_A0A0E9FSU9|g__Bacteroides.s__Bacteroides_dorei	3.7209302326
UniRef90_E5VDI7	9.2506938020
UniRef90_E5VDI7|g__Bacteroides.s__Bacteroides_dorei	9.2506938020
UniRef90_A0A3E5BJC2	9.1743119266
UniRef90_A0A3E5BJC2|g__Bacteroides.s__Bacteroides_dorei	9.1743119266
UniRef90_A0A076IWA2	8.9285714286
UniRef90_A0A076IWA2|g__Bacteroides.s__Bacteroides_vulgatus	8.9285714286
UniRef90_A6L5M5	8.9285714286
UniRef90_A6L5M5|g__Bacteroides.s__Bacteroides_vulgatus	8.9285714286
UniRef90_A0A396BT81	8.8495575221
UniRef90_A0A396BT81|g__Bacteroides.s__Bacteroides_vulgatus	8.8495575221
UniRef90_E5WU41	8.8495575221
UniRef90_E5WU41|g__Bacteroides.s__Bacteroides_dorei	8.8495575221
UniRef90_A0A0A2FLD4	8.7336244541
UniRef90_A0A0A2FLD4|g__Bacteroides.s__Bacteroides_vulgatus	8.7336244541
UniRef90_A6L2A3	8.6956521739
UniRef90_A6L2A3|g__Bacteroides.s__Bacteroides_vulgatus	8.6956521739
UniRef90_A0A0P0M3Z0	8.3102493075
UniRef90_A0A0P0M3Z0|g__Bacteroides.s__Bacteroides_vulgatus	8.3102493075
UniRef90_A0A174RSG3	8.2874189522
UniRef90_A0A174RSG3|g__Bacteroides.s__Bacteroides_dorei	8.2874189522
UniRef90_A0A069S980	8.2644628099
UniRef90_A0A069S980|g__Bacteroides.s__Bacteroides_dorei	6.6115702479
UniRef90_A0A069S980|g__Bacteroides.s__Bacteroides_vulgatus	1.6528925620
UniRef90_A0A3E4KHR7	8.1300813008
UniRef90_A0A3E4KHR7|g__Bacteroides.s__Bacteroides_vulgatus	8.1300813008
UniRef90_G1UMX3	8.0971659919
UniRef90_G1UMX3|g__Bacteroides.s__Bacteroides_vulgatus	8.0971659919
UniRef90_A0A174Q9G9	7.8740157480
UniRef90_A0A174Q9G9|g__Bacteroides.s__Bacteroides_dorei	7.8740157480
UniRef90_A0A076IU87	7.8125000000
UniRef90_A0A076IU87|g__Bacteroides.s__Bacteroides_vulgatus	7.8125000000
UniRef90_A0A076J541	7.8125000000
UniRef90_A0A076J541|g__Bacteroides.s__Bacteroides_vulgatus	7.8125000000
UniRef90_A0A0P0M2A9	7.8125000000
UniRef90_A0A0P0M2A9|g__Bacteroides.s__Bacteroides_vulgatus	7.8125000000
UniRef90_F7LKH6	7.8125000000
UniRef90_F7LKH6|g__Bacteroides.s__Bacteroides_vulgatus	7.8125000000
UniRef90_E2N7L9	7.7399380805
UniRef90_E2N7L9|g__Bacteroides.s__Bacteroides_dorei	6.1919504644
UniRef90_E2N7L9|g__Bacteroides.s__Bacteroides_vulgatus	1.5479876161
UniRef90_A0A149MWY2	7.6923076923
UniRef90_A0A149MWY2|g__Bacteroides.s__Bacteroides_dorei	7.6923076923
UniRef90_A0A396ES51	7.5471698113
UniRef90_A0A396ES51|g__Bacteroides.s__Bacteroides_dorei	7.5471698113
UniRef90_Q5LEG9	7.5000000000
UniRef90_Q5LEG9|g__Bacteroides.s__Bacteroides_vulgatus	7.5000000000
UniRef90_C6Z520	7.3529411765
UniRef90_C6Z520|g__Bacteroides.s__Bacteroides_vulgatus	7.3529411765
UniRef90_I9U2S1	6.8995819875
UniRef90_I9U2S1|g__Bacteroides.s__Bacteroides_dorei	3.6101083032
UniRef90_I9U2S1|g__Bacteroides.s__Bacteroides_vulgatus	3.2894736842
UniRef90_A0A0K2HMQ6	6.7567567568
UniRef90_A0A0K2HMQ6|g__Bacteroides.s__Bacteroides_dorei	6.7567567568
UniRef90_A0A396B3Q2	6.7567567568
UniRef90_A0A396B3Q2|g__Bacteroides.s__Bacteroides_dorei	6.7567567568
UniRef90_D7K298	6.7567567568
UniRef90_D7K298|g__Bacteroides.s__Bacteroides_vulgatus	6.7567567568
UniRef90_A0A1H7REQ9	6.7415730337
UniRef90_A0A1H7REQ9|g__Bacteroides.s__Bacteroides_vulgatus	6.7415730337
UniRef90_A0A076J5A3	6.6981258666
UniRef90_A0A076J5A3|g__Bacteroides.s__Bacteroides_vulgatus	3.5335689046
UniRef90_A0A076J5A3|g__Bacteroides.s__Bacteroides_dorei	3.1645569620
UniRef90_A0A380Z9X1	6.6225165563
UniRef90_A0A380Z9X1|g__Bacteroides.s__Bacteroides_vulgatus	6.6225165563
UniRef90_I9HW32	6.6225165563
UniRef90_I9HW32|g__Bacteroides.s__Bacteroides_dorei	6.6225165563
UniRef90_A0A3E5DKV8	6.5897858320
UniRef90_A0A3E5DKV8|g__Bacteroides.s__Bacteroides_dorei	6.5897858320
UniRef90_A0A173Z862	6.5146579805
UniRef90_A0A173Z862|g__Bacteroides.s__Bacteroides_vulgatus	6.5146579805
UniRef90_A0A076J4M9	6.2695924765
UniRef90_A0A076J4M9|g__Bacteroides.s__Bacteroides_vulgatus	6.2695924765
UniRef90_A0A0K2HJH2	6.2695924765
UniRef90_A0A0K2HJH2|g__Bacteroides.s__Bacteroides_vulgatus	6.2695924765
UniRef90_R9HNY3	6.2111801242
